fname,itp,tp_prob,its,ts_prob
GS.WXT.1218364124.3.mseed,[616],[ 0.76507425],[2182],[ 0.769626]
GS.WXT.1217656366.7.mseed,[610],[ 0.9193187],[1716],[ 0.6519936]
GS.WXT.1218315279.0.mseed,[603],[ 0.9481237],[1618],[ 0.73436606]
GS.WXT.1218507852.7.mseed,[595],[ 0.9421513],[1614],[ 0.44099972]
GS.WXT.1218192041.1.mseed,[603],[ 0.9005699],[1374],[ 0.76640934]
GS.WXT.1217703543.0.mseed,[610],[ 0.9527468],[2181 2635],[ 0.6166312   0.21736243]
GS.WXT.1218165308.5.mseed,[611],[ 0.9691731],[1362],[ 0.7120029]
GS.WXT.1218138101.9.mseed,[728],[ 0.8374624],[1553],[ 0.7347872]
GS.WXT.1218139191.9.mseed,[600],[ 0.91645646],[1629],[ 0.78250927]
GS.WXT.1218327974.7.mseed,[602],[ 0.9050086],[2281],[ 0.57071865]
