fname,itp,tp_prob,its,ts_prob
2019.06.24.1770.SC.MET.npz,[],[],[],[]
2019.06.24.2070.SC.MET.npz,[2232],[ 0.697152],[2633],[ 0.40984213]
2019.06.24.1800.SC.MET.npz,[],[],[],[]
2019.06.24.1290.SC.MET.npz,[],[],[],[]
2019.06.24.2400.SC.MET.npz,[],[],[],[]
2019.06.24.1140.SC.MET.npz,[],[],[],[]
2019.06.24.1050.SC.MET.npz,[999],[ 0.8903466],[1505],[ 0.88543534]
2019.06.24.1590.SC.MET.npz,[],[],[2569],[ 0.82337666]
2019.06.24.1560.SC.MET.npz,[],[],[],[]
2019.06.24.2430.SC.MET.npz,[],[],[],[]
2019.06.24.2010.SC.MET.npz,[785],[ 0.54785275],[1077],[ 0.44585732]
2019.06.24.2040.SC.MET.npz,[],[],[393],[ 0.8208793]
2019.06.24.1320.SC.MET.npz,[1309],[ 0.61938727],[],[]
2019.06.24.1470.SC.MET.npz,[],[],[2003],[ 0.74282515]
2019.06.24.1380.SC.MET.npz,[],[],[],[]
2019.06.24.1950.SC.MET.npz,[2484],[ 0.88434887],[2631],[ 0.5652992]
2019.06.24.1200.SC.MET.npz,[2574],[ 0.8203917],[2733],[ 0.40688688]
2019.06.24.2190.SC.MET.npz,[],[],[1297],[ 0.7577267]
2019.06.24.2100.SC.MET.npz,[],[],[2373],[ 0.25923264]
2019.06.24.1350.SC.MET.npz,[],[],[1064],[ 0.75697213]
2019.06.24.2370.SC.MET.npz,[],[],[],[]
2019.06.24.1410.SC.MET.npz,[],[],[],[]
2019.06.24.2250.SC.MET.npz,[],[],[166],[ 0.7083987]
2019.06.24.1110.SC.MET.npz,[500],[ 0.91104686],[1627 2759],[ 0.34500304  0.28458294]
2019.06.24.1020.SC.MET.npz,[],[],[  58 2667 2754],[ 0.8217617  0.2286519  0.775845 ]
2019.06.24.1830.SC.MET.npz,[],[],[365],[ 0.3669455]
2019.06.24.1440.SC.MET.npz,[],[],[],[]
2019.06.24.1530.SC.MET.npz,[1503],[ 0.62737006],[2047],[ 0.20541708]
2019.06.24.1650.SC.MET.npz,[],[],[],[]
2019.06.24.1500.SC.MET.npz,[],[],[],[]
2019.06.24.1920.SC.MET.npz,[],[],[2097],[ 0.3886186]
2019.06.24.1890.SC.MET.npz,[],[],[],[]
2019.06.24.2280.SC.MET.npz,[],[],[440],[ 0.4189084]
2019.06.24.2310.SC.MET.npz,[],[],[],[]
2019.06.24.1860.SC.MET.npz,[],[],[],[]
2019.06.24.2220.SC.MET.npz,[],[],[],[]
2019.06.24.1740.SC.MET.npz,[472],[ 0.782352],[582],[ 0.86879116]
2019.06.24.2130.SC.MET.npz,[1501],[ 0.7292128],[],[]
2019.06.24.1230.SC.MET.npz,[],[],[],[]
2019.06.24.1980.SC.MET.npz,[],[],[],[]
2019.06.24.1620.SC.MET.npz,[],[],[],[]
2019.06.24.2160.SC.MET.npz,[791],[ 0.7855507],[898],[ 0.6746058]
2019.06.24.2340.SC.MET.npz,[1502],[ 0.71347946],[],[]
