fname,itp,tp_prob,its,ts_prob
2019.06.24.1380.SC.L5117.npz,[],[],[],[]
2019.06.24.3420.SC.L5117.npz,[],[],[],[]
2019.06.24.1020.SC.L5117.npz,[2925],[ 0.5474225],[2922],[ 0.24925059]
2019.06.24.2580.SC.L5117.npz,[1701],[ 0.90515125],[],[]
2019.06.24.6600.SC.L5117.npz,[],[],[],[]
2019.06.24.6450.SC.L5117.npz,[],[],[],[]
2019.06.24.3030.SC.L5117.npz,[],[],[],[]
2019.06.24.7860.SC.L5117.npz,[],[],[],[]
2019.06.24.7920.SC.L5117.npz,[],[],[],[]
2019.06.24.900.SC.L5117.npz,[],[],[],[]
2019.06.24.5880.SC.L5117.npz,[],[],[],[]
2019.06.24.960.SC.L5117.npz,[],[],[],[]
2019.06.24.4260.SC.L5117.npz,[],[],[],[]
2019.06.24.6000.SC.L5117.npz,[],[],[],[]
2019.06.24.7380.SC.L5117.npz,[],[],[],[]
2019.06.24.6660.SC.L5117.npz,[],[],[],[]
2019.06.24.4320.SC.L5117.npz,[],[],[],[]
2019.06.24.1050.SC.L5117.npz,[],[],[],[]
2019.06.24.1080.SC.L5117.npz,[],[],[],[]
