fname,itp,tp_prob,its,ts_prob
2019.06.24.330.SC.LCZ.npz,[],[],[],[]
2019.06.24.60.SC.LCZ.npz,[],[],[],[]
2019.06.24.540.SC.LCZ.npz,[],[],[],[]
2019.06.24.0.SC.LCZ.npz,[],[],[],[]
2019.06.24.510.SC.LCZ.npz,[],[],[],[]
2019.06.24.390.SC.LCZ.npz,[],[],[],[]
2019.06.24.450.SC.LCZ.npz,[1837],[ 0.7363137],[],[]
2019.06.24.210.SC.LCZ.npz,[],[],[],[]
2019.06.24.120.SC.LCZ.npz,[],[],[],[]
2019.06.24.150.SC.LCZ.npz,[],[],[],[]
2019.06.24.480.SC.LCZ.npz,[],[],[],[]
2019.06.24.360.SC.LCZ.npz,[],[],[],[]
2019.06.24.300.SC.LCZ.npz,[],[],[],[]
2019.06.24.270.SC.LCZ.npz,[],[],[],[]
2019.06.24.90.SC.LCZ.npz,[],[],[],[]
2019.06.24.240.SC.LCZ.npz,[],[],[],[]
2019.06.24.420.SC.LCZ.npz,[],[],[],[]
2019.06.24.30.SC.LCZ.npz,[],[],[],[]
2019.06.24.180.SC.LCZ.npz,[],[],[],[]
