fname,itp,tp_prob,its,ts_prob
XX.YGD.2008185000000.1215053259.201.sac,[],[],[],[]
XX.YGD.2008186000000.1215172715.302.sac,[],[],[1977],[ 0.5345903]
XX.YGD.2008184000000.1214967843.602.sac,[2237],[ 0.59820503],[2437],[ 0.66401803]
XX.YGD.2008185000000.1215073306.202.sac,[1737],[ 0.6920587],[2135],[ 0.2222449]
XX.YGD.2008183000000.1214955855.603.sac,[],[],[2105 2529],[ 0.47191462  0.37544113]
XX.YGD.2008185000000.1215056450.003.sac,[],[],[2579],[ 0.27451146]
XX.YGD.2008185000000.1215053259.202.sac,[],[],[2361],[ 0.5276836]
XX.YGD.2008184000000.1215040701.901.sac,[601],[ 0.5431675],[2517],[ 0.7029215]
XX.YGD.2008183000000.1214927495.603.sac,[],[],[2012 2466],[ 0.4692982  0.6423157]
XX.YGD.2008185000000.1215058112.403.sac,[2569],[ 0.7554623],[],[]
XX.YGD.2008183000000.1214943612.403.sac,[],[],[2041 2423],[ 0.34383103  0.5950234 ]
XX.YGD.2008185000000.1215073306.203.sac,[1737],[ 0.6920587],[2135],[ 0.2222449]
XX.YGD.2008186000000.1215171815.901.sac,[681],[ 0.69168586],[],[]
XX.YGD.2008186000000.1215171815.903.sac,[2091],[ 0.5075574],[2392],[ 0.44397476]
XX.YGD.2008184000000.1215040419.802.sac,[701],[ 0.59299755],[1958 2557],[ 0.48354465  0.3373078 ]
XX.YGD.2008184000000.1214986681.303.sac,[695],[ 0.77262765],[],[]
XX.YGD.2008183000000.1214942294.801.sac,[616],[ 0.82222617],[2643],[ 0.3140651]
XX.YGD.2008184000000.1214964857.702.sac,[760],[ 0.6863398],[2052 2381],[ 0.70767593  0.38969043]
XX.YGD.2008186000000.1215172715.301.sac,[617],[ 0.6453644],[1985],[ 0.39695218]
XX.YGD.2008184000000.1214964857.701.sac,[],[],[ 757 2423],[ 0.62259495  0.40718302]
XX.YGD.2008183000000.1214943612.401.sac,[607],[ 0.90328705],[ 743 2447],[ 0.39929116  0.30527773]
XX.YGD.2008185000000.1215053259.203.sac,[],[],[2361],[ 0.5276836]
XX.YGD.2008184000000.1215040419.801.sac,[609],[ 0.62047935],[],[]
XX.YGD.2008184000000.1215032288.803.sac,[2671],[ 0.58174914],[],[]
XX.YGD.2008183000000.1214927495.602.sac,[],[],[2012 2466],[ 0.4692982  0.6423157]
XX.YGD.2008185000000.1215073306.201.sac,[668],[ 0.80999017],[],[]
XX.YGD.2008184000000.1215032288.801.sac,[],[],[610],[ 0.71061605]
XX.YGD.2008183000000.1214950246.301.sac,[575],[ 0.75228214],[],[]
XX.YGD.2008183000000.1214950246.302.sac,[661],[ 0.5749546],[2389],[ 0.49117246]
XX.YGD.2008185000000.1215056450.002.sac,[],[],[2579],[ 0.27451146]
XX.YGD.2008184000000.1215040701.902.sac,[],[],[2195 2517],[ 0.4194115   0.30342418]
XX.YGD.2008184000000.1214986681.302.sac,[695],[ 0.77262765],[],[]
XX.YGD.2008184000000.1215032288.802.sac,[2671],[ 0.58174914],[],[]
XX.YGD.2008184000000.1214967843.603.sac,[2237],[ 0.59820503],[2437],[ 0.66401803]
XX.YGD.2008183000000.1214927495.601.sac,[529],[ 0.58026385],[2484],[ 0.28851193]
XX.YGD.2008183000000.1214942294.802.sac,[],[],[2561],[ 0.42607176]
XX.YGD.2008183000000.1214955855.601.sac,[],[],[2599],[ 0.42094767]
XX.YGD.2008185000000.1215056450.001.sac,[],[],[2649],[ 0.4983355]
XX.YGD.2008185000000.1215058112.401.sac,[628],[ 0.74051917],[2505],[ 0.49345118]
XX.YGD.2008184000000.1215040701.903.sac,[],[],[2195 2517],[ 0.4194115   0.30342418]
XX.YGD.2008183000000.1214943612.402.sac,[],[],[2041 2423],[ 0.34383103  0.5950234 ]
XX.YGD.2008183000000.1214929812.102.sac,[],[],[2409],[ 0.8335472]
XX.YGD.2008186000000.1215171815.902.sac,[2091],[ 0.5075574],[2392],[ 0.44397476]
XX.YGD.2008184000000.1214986681.301.sac,[592],[ 0.78287536],[],[]
XX.YGD.2008183000000.1214942294.803.sac,[],[],[2561],[ 0.42607176]
XX.YGD.2008183000000.1214955855.602.sac,[],[],[2105 2529],[ 0.47191462  0.37544113]
XX.YGD.2008185000000.1215058112.402.sac,[2569],[ 0.7554623],[],[]
XX.YGD.2008184000000.1215040419.803.sac,[701],[ 0.59299755],[1958 2557],[ 0.48354465  0.3373078 ]
XX.YGD.2008183000000.1214929812.103.sac,[],[],[2409],[ 0.8335472]
XX.YGD.2008183000000.1214950246.303.sac,[661],[ 0.5749546],[2389],[ 0.49117246]
XX.YGD.2008183000000.1214929812.101.sac,[],[],[],[]
XX.YGD.2008186000000.1215172715.303.sac,[],[],[1977],[ 0.5345903]
XX.YGD.2008184000000.1214964857.703.sac,[760],[ 0.6863398],[2052 2381],[ 0.70767593  0.38969043]
XX.YGD.2008184000000.1214967843.601.sac,[],[],[2469],[ 0.5215759]
